[INFO ] 2019-10-06T07:22:13,020Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,020Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LifecycleBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.ReportingBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.ComponentBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,021Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.BinaryBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,022Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,022Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to project ':clients' {}
[INFO ] 2019-10-06T07:22:13,046Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project :clients {}
[INFO ] 2019-10-06T07:22:13,046Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'allprojects {}' action {}
[INFO ] 2019-10-06T07:22:13,046Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project :contracts {}
[INFO ] 2019-10-06T07:22:13,046Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,046Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LifecycleBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.ReportingBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,047Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.ComponentBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,048Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LanguageBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,048Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,048Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.platform.base.plugins.BinaryBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,048Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,048Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to project ':contracts' {}
[INFO ] 2019-10-06T07:22:13,057Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project :contracts {}
[INFO ] 2019-10-06T07:22:13,057Z [Connection worker] internal.TestCordappImpl.statusChanged - Execute 'allprojects {}' action {}
[INFO ] 2019-10-06T07:22:13,057Z [Connection worker] internal.TestCordappImpl.statusChanged - Cross-configure project :workflows {}
[INFO ] 2019-10-06T07:22:13,057Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.java to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,057Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.JavaBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,057Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.language.base.plugins.LifecycleBasePlugin to project ':workflows' {}
[INFO ] 2019-10-06T07:22:13,058Z [Connection worker] internal.TestCordappImpl.statusChanged - Apply plugin org.gradle.api.plugins.BasePlugin to project ':workflows' {}
